UniprotAccession	Organism	Kingdom	ProteinLength	SPPosition	label	TMHelixFirst90	Fold	Set
P32904	Saccharomyces cerevisiae	Fungi	214		negative	False	aa	train
P53153	Saccharomyces cerevisiae	Fungi	274		negative	True	ae	train
Q06244	Saccharomyces cerevisiae	Fungi	254		negative	False	ad	train
Q06678	Saccharomyces cerevisiae	Fungi	367		negative	False	aa	train
Q06683	Saccharomyces cerevisiae	Fungi	689		negative	False	aa	train
Q08952	Saccharomyces cerevisiae	Fungi	273		negative	False	ac	train
Q5XG73	Mus musculus	Metazoa	508		negative	False	aa	train
B7Z0X7	Drosophila melanogaster	Metazoa	61		negative	True	ae	train
P07253	Saccharomyces cerevisiae	Fungi	162		negative	False	ac	train
P20084	Saccharomyces cerevisiae	Fungi	86		negative	False	aa	train
P21771	Saccharomyces cerevisiae	Fungi	286		negative	False	aa	bench
P23369	Saccharomyces cerevisiae	Fungi	157		negative	False	ac	bench
P25039	Saccharomyces cerevisiae	Fungi	761		negative	False	ab	train
P25379	Saccharomyces cerevisiae	Fungi	360		negative	False	aa	train
P31334	Saccharomyces cerevisiae	Fungi	269		negative	False	aa	train
P33759	Saccharomyces cerevisiae	Fungi	307		negative	False	aa	train
P36516	Saccharomyces cerevisiae	Fungi	390		negative	False	ac	train
P36528	Saccharomyces cerevisiae	Fungi	281		negative	False	ae	train
P38783	Saccharomyces cerevisiae	Fungi	130		negative	False	ac	train
P41977	Caenorhabditis elegans	Metazoa	218		negative	False	ae	train
P48015	Saccharomyces cerevisiae	Fungi	400		negative	False	aa	train
P53881	Saccharomyces cerevisiae	Fungi	309		negative	False	aa	bench
P82922	Bos taurus	Metazoa	397		negative	False	ac	train
Q12283	Saccharomyces cerevisiae	Fungi	360		negative	False	aa	train
Q12487	Saccharomyces cerevisiae	Fungi	163		negative	False	ab	train
Q20481	Caenorhabditis elegans	Metazoa	287		negative	False	ac	train
Q5XIE6	Rattus norvegicus	Metazoa	385		negative	False	ac	train
Q7TNG8	Mus musculus	Metazoa	484		negative	False	ae	train
Q8CC88	Mus musculus	Metazoa	1905		negative	False	ac	train
Q93YQ3	Arabidopsis thaliana	Viridiplantae	323		negative	False	ab	train
Q95T19	Drosophila melanogaster	Metazoa	464		negative	False	ac	train
Q9CQX8	Mus musculus	Metazoa	102		negative	False	ab	bench
Q9LES4	Arabidopsis thaliana	Viridiplantae	483		negative	False	ab	train
Q9S7G6	Arabidopsis thaliana	Viridiplantae	991		negative	False	ad	train
Q9TYY7	Caenorhabditis elegans	Metazoa	478		negative	True	ac	train
Q03370	Saccharomyces cerevisiae	Fungi	554		negative	False	aa	bench
Q03824	Saccharomyces cerevisiae	Fungi	705		negative	False	ae	train
Q06497	Saccharomyces cerevisiae	Fungi	328		negative	True	ab	train
Q02969	Saccharomyces cerevisiae	Fungi	394		negative	False	ab	train
Q94K73	Arabidopsis thaliana	Viridiplantae	429		negative	False	aa	train
Q9V3Y0	Drosophila melanogaster	Metazoa	215		negative	False	ac	bench
Q99LD8	Mus musculus	Metazoa	285		negative	False	ab	train
Q07799	Saccharomyces cerevisiae	Fungi	665		negative	False	ad	train
P16965	Saccharomyces cerevisiae	Fungi	84		negative	False	ae	train
P50896	Saccharomyces cerevisiae	Fungi	841		negative	False	ab	train
Q8VY21	Arabidopsis thaliana	Viridiplantae	406		negative	False	ab	train
P11178	Bos taurus	Metazoa	455		negative	False	ab	train
P18544	Saccharomyces cerevisiae	Fungi	423		negative	False	ab	train
P82913	Bos taurus	Metazoa	256		negative	False	ab	train
Q03429	Saccharomyces cerevisiae	Fungi	123		negative	False	ac	train
Q12219	Saccharomyces cerevisiae	Fungi	294		negative	False	ac	train
Q39056	Arabidopsis thaliana	Viridiplantae	270		negative	False	ae	bench
Q8BH86	Mus musculus	Metazoa	617		negative	False	ab	train
P10849	Saccharomyces cerevisiae	Fungi	440		negative	False	aa	train
P38705	Saccharomyces cerevisiae	Fungi	446		negative	False	ae	train
P40513	Saccharomyces cerevisiae	Fungi	266		negative	False	ad	train
P52901	Arabidopsis thaliana	Viridiplantae	389		negative	False	ac	train
Q06892	Saccharomyces cerevisiae	Fungi	414		negative	False	ab	bench
P07266	Saccharomyces cerevisiae	Fungi	363		negative	False	ac	train
P22438	Saccharomyces cerevisiae	Fungi	575		negative	False	aa	train
P32048	Saccharomyces cerevisiae	Fungi	576		negative	False	ad	train
P09368	Saccharomyces cerevisiae	Fungi	476		negative	False	ab	train
Q3E785	Saccharomyces cerevisiae	Fungi	79		negative	False	ac	bench
Q5M729	Arabidopsis thaliana	Viridiplantae	539		negative	False	ac	bench
P47158	Saccharomyces cerevisiae	Fungi	497		negative	False	ad	train
Q12056	Saccharomyces cerevisiae	Fungi	156		negative	False	ad	train
Q7YR75	Bos taurus	Metazoa	198		negative	False	ad	train
Q9C6I6	Arabidopsis thaliana	Viridiplantae	363		negative	False	ae	train
X5JA13	Arabidopsis thaliana	Viridiplantae	825		negative	False	ab	bench
C4R4G9	Komagataella phaffii	Fungi	344		negative	False	ab	train
P22009	Candida tropicalis	Fungi	127		negative	False	ab	train
Q4WF54	Aspergillus fumigatus	Fungi	270		negative	False	aa	train
Q9LSB9	Arabidopsis thaliana	Viridiplantae	755		negative	False	aa	bench
P32785	Saccharomyces cerevisiae	Fungi	401		negative	False	ad	train
Q1G3K8	Arabidopsis thaliana	Viridiplantae	216		negative	False	ab	train
P22135	Saccharomyces cerevisiae	Fungi	325		negative	False	aa	bench
P38162	Saccharomyces cerevisiae	Fungi	196		negative	False	aa	train
F4KFB3	Arabidopsis thaliana	Viridiplantae	598		negative	False	aa	train
Q3ED65	Arabidopsis thaliana	Viridiplantae	261		negative	False	ae	train
Q7XA78	Arabidopsis thaliana	Viridiplantae	264		negative	False	ad	train
Q9C7I5	Arabidopsis thaliana	Viridiplantae	189		negative	False	ac	train
Q9M0S5	Arabidopsis thaliana	Viridiplantae	764		negative	False	ad	bench
F4IY62	Arabidopsis thaliana	Viridiplantae	883		negative	False	ac	train
Q6YSY5	Oryza sativa subsp. japonica	Viridiplantae	357		negative	False	ae	train
Q7XR83	Oryza sativa subsp. japonica	Viridiplantae	333		negative	False	ad	bench
Q8GXH3	Arabidopsis thaliana	Viridiplantae	371		negative	False	ab	train
Q8H1E5	Arabidopsis thaliana	Viridiplantae	783		negative	False	aa	train
Q8L774	Arabidopsis thaliana	Viridiplantae	389		negative	False	ab	bench
Q9FJW6	Arabidopsis thaliana	Viridiplantae	798		negative	False	ae	train
Q9FMW8	Arabidopsis thaliana	Viridiplantae	354		negative	False	ab	train
Q9LLC1	Arabidopsis thaliana	Viridiplantae	255		negative	False	ac	bench
Q9LS02	Arabidopsis thaliana	Viridiplantae	253		negative	False	ae	train
O48721	Arabidopsis thaliana	Viridiplantae	321		negative	False	ab	train
Q0E3V2	Oryza sativa subsp. japonica	Viridiplantae	165		negative	False	ac	train
Q9LY66	Arabidopsis thaliana	Viridiplantae	346		negative	False	ae	bench
Q9SR43	Arabidopsis thaliana	Viridiplantae	329		negative	False	ab	bench
O23247	Arabidopsis thaliana	Viridiplantae	642		negative	False	aa	bench
O65220	Arabidopsis thaliana	Viridiplantae	281		negative	False	ac	train
Q9FZ47	Arabidopsis thaliana	Viridiplantae	290		negative	False	ac	train
Q9LMR3	Arabidopsis thaliana	Viridiplantae	358		negative	False	aa	train
Q9LQK7	Arabidopsis thaliana	Viridiplantae	475		negative	False	ae	train
Q9M9V6	Arabidopsis thaliana	Viridiplantae	562		negative	False	ab	train
Q9SQK3	Arabidopsis thaliana	Viridiplantae	315		negative	False	aa	bench
Q0WMY5	Arabidopsis thaliana	Viridiplantae	952		negative	False	ab	train
Q6EPN6	Oryza sativa subsp. japonica	Viridiplantae	222		negative	False	ac	train
Q6NLC1	Arabidopsis thaliana	Viridiplantae	706		negative	True	ab	bench
Q8GWP5	Arabidopsis thaliana	Viridiplantae	426		negative	False	ad	bench
Q93YW0	Arabidopsis thaliana	Viridiplantae	684		negative	False	ae	train
Q9C5W3	Arabidopsis thaliana	Viridiplantae	985		negative	False	aa	train
Q9LDD5	Arabidopsis thaliana	Viridiplantae	373		negative	False	ab	train
P40566	Saccharomyces cerevisiae	Fungi	764		negative	False	ab	train
O61766	Caenorhabditis elegans	Metazoa	383		negative	False	ad	train
P38824	Saccharomyces cerevisiae	Fungi	151		negative	False	ae	train
Q02825	Saccharomyces cerevisiae	Fungi	467		negative	False	ac	train
Q04675	Saccharomyces cerevisiae	Fungi	128		negative	False	aa	train
A0A0N7KIY3	Oryza sativa subsp. japonica	Viridiplantae	352		negative	False	ae	train
B2D6P4	Caenorhabditis elegans	Metazoa	508		negative	False	ad	train
F4IUY8	Arabidopsis thaliana	Viridiplantae	1006		negative	False	ac	train
G3XKQ9	Oryza sativa subsp. japonica	Viridiplantae	394		negative	False	ab	train
O82743	Arabidopsis thaliana	Viridiplantae	219		negative	False	ae	train
P36093	Saccharomyces cerevisiae	Fungi	366		negative	False	ad	train
P38326	Saccharomyces cerevisiae	Fungi	303		negative	False	ac	train
P39113	Saccharomyces cerevisiae	Fungi	1433		negative	False	ac	train
P45976	Saccharomyces cerevisiae	Fungi	327		negative	False	ae	train
Q01750	Rattus norvegicus	Metazoa	249		negative	False	ac	train
Q02721	Saccharomyces cerevisiae	Fungi	264		negative	False	ad	train
Q03782	Saccharomyces cerevisiae	Fungi	492		negative	False	ab	train
Q04996	Arabidopsis thaliana	Viridiplantae	723		negative	False	ad	train
Q06091	Saccharomyces cerevisiae	Fungi	175		negative	False	ab	bench
Q06707	Saccharomyces cerevisiae	Fungi	132		negative	False	ae	bench
Q17784	Caenorhabditis elegans	Metazoa	830		negative	False	ab	bench
Q21773	Caenorhabditis elegans	Metazoa	489		negative	False	ae	train
Q3UB74	Mus musculus	Metazoa	406		negative	False	ad	train
Q4PSU4	Arabidopsis thaliana	Viridiplantae	264		negative	False	ab	train
Q67UR2	Oryza sativa subsp. japonica	Viridiplantae	419		negative	False	ab	train
Q6NZN1	Mus musculus	Metazoa	1644		negative	False	aa	train
Q6Z1Z3	Oryza sativa subsp. japonica	Viridiplantae	362		negative	False	ad	train
Q78ZR5	Rattus norvegicus	Metazoa	73		negative	False	aa	train
Q80US8	Mus musculus	Metazoa	206		negative	False	ab	train
Q84Y18	Arabidopsis thaliana	Viridiplantae	332		negative	False	ab	train
Q86BP6	Drosophila melanogaster	Metazoa	1162		negative	False	ad	train
Q8BMA5	Mus musculus	Metazoa	1420		negative	False	ac	train
Q8BMB0	Mus musculus	Metazoa	1264		negative	False	ac	train
Q8K3D3	Mus musculus	Metazoa	89		negative	False	ad	train
Q8SXD4	Drosophila melanogaster	Metazoa	1122		negative	False	ad	train
Q8VZS6	Arabidopsis thaliana	Viridiplantae	567		negative	False	ad	bench
Q967U1	Dictyostelium discoideum	Other	225		negative	False	ab	train
Q9EST4	Mus musculus	Metazoa	264		negative	False	ad	train
Q9FFF5	Arabidopsis thaliana	Viridiplantae	241		negative	False	ab	bench
Q9M365	Arabidopsis thaliana	Viridiplantae	359		negative	False	ac	bench
Q9VEC3	Drosophila melanogaster	Metazoa	648		negative	False	ab	train
A9D2P7	Caenorhabditis elegans	Metazoa	672		negative	False	ae	train
B2C6R6	Arabidopsis thaliana	Viridiplantae	681		negative	False	ae	bench
D4A7U2	Rattus norvegicus	Metazoa	587		negative	False	ac	train
F4JF14	Arabidopsis thaliana	Viridiplantae	953		negative	False	aa	train
O45784	Caenorhabditis elegans	Metazoa	183		negative	False	ae	train
O81098	Arabidopsis thaliana	Viridiplantae	205		negative	False	aa	train
P06526	Bos taurus	Metazoa	509		negative	False	ac	bench
P21657	Saccharomyces cerevisiae	Fungi	970		negative	False	ae	train
P32489	Saccharomyces cerevisiae	Fungi	222		negative	False	ad	train
P38193	Saccharomyces cerevisiae	Fungi	441		negative	False	aa	bench
P38210	Saccharomyces cerevisiae	Fungi	180		negative	False	ae	train
P38241	Saccharomyces cerevisiae	Fungi	364		negative	False	ae	bench
P39927	Saccharomyces cerevisiae	Fungi	425		negative	False	ae	bench
P40567	Saccharomyces cerevisiae	Fungi	111		negative	False	aa	bench
P42841	Saccharomyces cerevisiae	Fungi	465		negative	False	ab	train
P43554	Saccharomyces cerevisiae	Fungi	623		negative	False	ae	bench
P43589	Saccharomyces cerevisiae	Fungi	448		negative	False	ac	train
P43596	Saccharomyces cerevisiae	Fungi	787		negative	False	ad	train
P53102	Saccharomyces cerevisiae	Fungi	219		negative	False	ae	train
P53125	Saccharomyces cerevisiae	Fungi	1264		negative	False	aa	train
Q00723	Saccharomyces cerevisiae	Fungi	242		negative	False	ac	train
Q02796	Saccharomyces cerevisiae	Fungi	332		negative	False	ac	train
Q03338	Saccharomyces cerevisiae	Fungi	469		negative	False	ae	train
Q04213	Saccharomyces cerevisiae	Fungi	475		negative	False	ad	train
Q05543	Saccharomyces cerevisiae	Fungi	409		negative	False	ae	train
Q06835	Saccharomyces cerevisiae	Fungi	107		negative	False	ab	bench
Q0WNB1	Arabidopsis thaliana	Viridiplantae	243		negative	False	aa	train
Q0ZCJ7	Mus musculus	Metazoa	421		negative	False	ae	train
Q12049	Saccharomyces cerevisiae	Fungi	470		negative	False	aa	train
Q12102	Saccharomyces cerevisiae	Fungi	859		negative	False	ad	train
Q12161	Saccharomyces cerevisiae	Fungi	406		negative	False	ad	bench
Q12318	Saccharomyces cerevisiae	Fungi	242		negative	False	ac	train
Q12507	Saccharomyces cerevisiae	Fungi	346		negative	False	ad	train
Q20733	Caenorhabditis elegans	Metazoa	900		negative	False	ad	train
Q6NNI3	Arabidopsis thaliana	Viridiplantae	190		negative	False	ae	train
Q6NPN9	Arabidopsis thaliana	Viridiplantae	350		negative	False	ac	train
Q84VG7	Arabidopsis thaliana	Viridiplantae	587		negative	False	ad	train
Q8C8M1	Mus musculus	Metazoa	221		negative	False	aa	bench
Q8CCG4	Mus musculus	Metazoa	296		negative	False	ac	bench
Q8LJT8	Arabidopsis thaliana	Viridiplantae	743		negative	False	ae	bench
Q8R400	Mus musculus	Metazoa	80		negative	True	ad	train
Q91W39	Mus musculus	Metazoa	579		negative	False	ab	train
Q9CQT2	Mus musculus	Metazoa	265		negative	False	ad	train
Q9FFG0	Arabidopsis thaliana	Viridiplantae	248		negative	False	ac	train
Q9LF24	Arabidopsis thaliana	Viridiplantae	927		negative	False	ae	bench
Q9LYB9	Arabidopsis thaliana	Viridiplantae	186		negative	False	aa	train
Q9V452	Drosophila melanogaster	Metazoa	140		negative	False	ab	train
Q9VIV2	Drosophila melanogaster	Metazoa	1062		negative	False	ae	train
Q9VZM7	Drosophila melanogaster	Metazoa	631		negative	False	ab	train
A0JN39	Bos taurus	Metazoa	953		negative	False	aa	train
A0A0A6YY25	Mus musculus	Metazoa	723		negative	False	ad	train
A0A486WWJ9	Caenorhabditis elegans	Metazoa	582		negative	False	ac	train
E5RQA1	Oryza sativa subsp. japonica	Viridiplantae	257		negative	False	ac	train
E9Q6W4	Mus musculus	Metazoa	445		negative	False	ae	train
O23077	Arabidopsis thaliana	Viridiplantae	319		negative	False	ad	train
O44498	Caenorhabditis elegans	Metazoa	1623		negative	False	ad	bench
O77264	Drosophila melanogaster	Metazoa	361		negative	False	ae	train
O80386	Arabidopsis thaliana	Viridiplantae	1058		negative	False	ac	bench
P15619	Drosophila melanogaster	Metazoa	869		negative	False	ac	train
P19735	Saccharomyces cerevisiae	Fungi	899		negative	False	ae	bench
P22035	Saccharomyces cerevisiae	Fungi	811		negative	False	ad	train
P34427	Caenorhabditis elegans	Metazoa	962		negative	False	ad	bench
P38222	Saccharomyces cerevisiae	Fungi	552		negative	False	ac	train
P38282	Saccharomyces cerevisiae	Fungi	291		negative	False	ab	bench
P38751	Saccharomyces cerevisiae	Fungi	150		negative	False	aa	train
P40366	Saccharomyces cerevisiae	Fungi	167		negative	False	ad	train
P40473	Saccharomyces cerevisiae	Fungi	351		negative	False	ae	train
P40517	Saccharomyces cerevisiae	Fungi	327		negative	False	ac	train
P40971	Saccharomyces cerevisiae	Fungi	790		negative	False	aa	train
P53854	Saccharomyces cerevisiae	Fungi	179		negative	False	ad	train
P89114	Saccharomyces cerevisiae	Fungi	91		negative	False	ae	train
Q00IB6	Arabidopsis thaliana	Viridiplantae	440		negative	False	ab	bench
Q03254	Saccharomyces cerevisiae	Fungi	732		negative	False	ab	train
Q03323	Saccharomyces cerevisiae	Fungi	175		negative	False	ad	bench
Q03718	Saccharomyces cerevisiae	Fungi	556		negative	False	ad	bench
Q04347	Saccharomyces cerevisiae	Fungi	519		negative	False	ab	train
Q04545	Saccharomyces cerevisiae	Fungi	1251		negative	False	ac	train
Q06525	Saccharomyces cerevisiae	Fungi	465		negative	False	aa	train
Q06667	Saccharomyces cerevisiae	Fungi	281		negative	False	ab	train
Q08561	Saccharomyces cerevisiae	Fungi	116		negative	False	ab	bench
Q12104	Saccharomyces cerevisiae	Fungi	458		negative	False	ac	bench
Q12192	Saccharomyces cerevisiae	Fungi	310		negative	False	ae	train
Q12753	Saccharomyces cerevisiae	Fungi	694		negative	False	ad	bench
Q18919	Caenorhabditis elegans	Metazoa	558		negative	False	ab	train
Q39261	Arabidopsis thaliana	Viridiplantae	150		negative	False	ae	train
Q3EBQ3	Arabidopsis thaliana	Viridiplantae	807		negative	False	ab	train
Q562E2	Mus musculus	Metazoa	927		negative	False	ac	train
Q5ZEF1	Oryza sativa subsp. japonica	Viridiplantae	127		negative	False	ad	train
Q75RY2	Oryza sativa subsp. japonica	Viridiplantae	492		negative	False	aa	train
Q80XX4	Rattus norvegicus	Metazoa	82		negative	False	ae	train
Q8GSI0	Oryza sativa subsp. japonica	Viridiplantae	179		negative	False	ae	bench
Q8GUL2	Arabidopsis thaliana	Viridiplantae	958		negative	False	ae	train
Q8LGD5	Arabidopsis thaliana	Viridiplantae	222		negative	False	ad	train
Q94JZ8	Arabidopsis thaliana	Viridiplantae	468		negative	False	ad	train
Q99LW6	Mus musculus	Metazoa	179		negative	False	ac	bench
Q9C950	Arabidopsis thaliana	Viridiplantae	643		negative	False	ab	train
Q9LJ87	Arabidopsis thaliana	Viridiplantae	415		negative	False	ae	train
Q9LU68	Arabidopsis thaliana	Viridiplantae	435		negative	False	ad	bench
Q9LV14	Arabidopsis thaliana	Viridiplantae	520		negative	False	ae	bench
Q9M2Q6	Arabidopsis thaliana	Viridiplantae	354		negative	False	ae	bench
Q9SK71	Arabidopsis thaliana	Viridiplantae	430		negative	False	ac	train
Q9SKZ1	Arabidopsis thaliana	Viridiplantae	296		negative	False	ad	bench
Q9W1R4	Drosophila melanogaster	Metazoa	1395		negative	False	ac	train
Q9XIB5	Arabidopsis thaliana	Viridiplantae	226		negative	False	aa	train
Q9XUK2	Caenorhabditis elegans	Metazoa	307		negative	False	aa	bench
Q9ZWS6	Arabidopsis thaliana	Viridiplantae	186		negative	False	ac	train
A0A0P0WQ90	Oryza sativa subsp. japonica	Viridiplantae	416		negative	False	ae	train
G5EF68	Caenorhabditis elegans	Metazoa	648		negative	False	ab	train
O80683	Arabidopsis thaliana	Viridiplantae	238		negative	False	ab	bench
P03872	Saccharomyces cerevisiae	Fungi	296		negative	False	ae	train
P07665	Drosophila melanogaster	Metazoa	356		negative	False	ad	train
P0CB49	Rattus norvegicus	Metazoa	1376		negative	False	ae	train
P33411	Saccharomyces cerevisiae	Fungi	251		negative	False	ac	train
P33417	Saccharomyces cerevisiae	Fungi	597		negative	False	ab	train
P34072	Saccharomyces cerevisiae	Fungi	584		negative	False	aa	train
P36036	Saccharomyces cerevisiae	Fungi	203		negative	False	aa	train
P36121	Saccharomyces cerevisiae	Fungi	282		negative	False	ac	train
P38772	Saccharomyces cerevisiae	Fungi	366		negative	False	ac	train
P38877	Saccharomyces cerevisiae	Fungi	133		negative	False	ab	train
P38985	Saccharomyces cerevisiae	Fungi	146		negative	False	aa	train
P40154	Saccharomyces cerevisiae	Fungi	320		negative	False	aa	train
P40486	Saccharomyces cerevisiae	Fungi	507		negative	False	ad	bench
P41814	Saccharomyces cerevisiae	Fungi	478		negative	False	aa	train
P43579	Saccharomyces cerevisiae	Fungi	692		negative	False	aa	train
P47988	Saccharomyces cerevisiae	Fungi	759		negative	False	ac	train
P52923	Saccharomyces cerevisiae	Fungi	378		negative	True	ac	train
P53187	Saccharomyces cerevisiae	Fungi	214		negative	False	aa	train
P53246	Saccharomyces cerevisiae	Fungi	860		negative	False	ad	train
P68350	Arabidopsis thaliana	Viridiplantae	175		negative	False	ad	train
Q03214	Saccharomyces cerevisiae	Fungi	1411		negative	False	ac	train
Q03750	Saccharomyces cerevisiae	Fungi	510		negative	False	ae	train
Q03776	Saccharomyces cerevisiae	Fungi	544		negative	False	ab	train
Q04116	Saccharomyces cerevisiae	Fungi	353		negative	False	aa	train
Q05635	Saccharomyces cerevisiae	Fungi	350		negative	False	ab	train
Q0IGK1	Arabidopsis thaliana	Viridiplantae	445		negative	False	ad	train
Q12415	Saccharomyces cerevisiae	Fungi	435		negative	False	ab	train
Q3UZ39	Mus musculus	Metazoa	729		negative	False	ab	bench
Q54TN2	Dictyostelium discoideum	Other	580		negative	False	ae	train
Q5SU73	Mus musculus	Metazoa	570		negative	False	ae	train
Q60EX7	Oryza sativa subsp. japonica	Viridiplantae	1128		negative	False	aa	train
Q62908	Rattus norvegicus	Metazoa	193		negative	False	ab	train
Q6K9U2	Oryza sativa subsp. japonica	Viridiplantae	279		negative	False	ac	train
Q6P8Z1	Mus musculus	Metazoa	170		negative	False	ae	train
Q6PFX2	Mus musculus	Metazoa	281		negative	False	ac	train
Q6ZJM9	Oryza sativa subsp. japonica	Viridiplantae	563		negative	False	ab	train
Q80T69	Mus musculus	Metazoa	795		negative	False	ac	train
Q8H0V4	Arabidopsis thaliana	Viridiplantae	722		negative	False	ae	train
Q8L557	Arabidopsis thaliana	Viridiplantae	202		negative	False	aa	train
Q8VYD2	Arabidopsis thaliana	Viridiplantae	386		negative	False	ad	train
Q8VZL6	Arabidopsis thaliana	Viridiplantae	441		negative	False	ae	train
Q965W2	Caenorhabditis elegans	Metazoa	407		negative	False	ab	train
Q99359	Saccharomyces cerevisiae	Fungi	647		negative	False	ad	train
Q9FGN8	Arabidopsis thaliana	Viridiplantae	639		negative	False	aa	train
Q9FJK3	Arabidopsis thaliana	Viridiplantae	321		negative	False	ac	train
Q9FPW4	Arabidopsis thaliana	Viridiplantae	614		negative	False	ac	train
Q9JLM4	Mus musculus	Metazoa	1370		negative	False	ab	train
Q9LUA3	Arabidopsis thaliana	Viridiplantae	122		negative	False	aa	train
Q9SB31	Arabidopsis thaliana	Viridiplantae	404		negative	False	aa	bench
Q9SSW0	Arabidopsis thaliana	Viridiplantae	193		negative	False	aa	train
Q9U226	Caenorhabditis elegans	Metazoa	342		negative	False	ab	bench
Q9URQ5	Saccharomyces cerevisiae	Fungi	78		negative	False	ae	train
Q9VB62	Drosophila melanogaster	Metazoa	609		negative	False	ae	train
Q9VHI4	Drosophila melanogaster	Metazoa	85		negative	False	aa	train
Q9VYQ0	Drosophila melanogaster	Metazoa	172		negative	False	ae	train
Q9W1H4	Drosophila melanogaster	Metazoa	747		negative	False	ad	train
Q6PCZ4	Mus musculus	Metazoa	918		negative	False	ae	train
O49629	Arabidopsis thaliana	Viridiplantae	310		negative	False	ac	bench
Q8S9M1	Arabidopsis thaliana	Viridiplantae	299		negative	False	ab	train
Q4E657	Trypanosoma cruzi	Other	485		negative	False	ac	train
O02073	Caenorhabditis elegans	Metazoa	376		negative	False	ac	train
O22161	Arabidopsis thaliana	Viridiplantae	930		negative	False	aa	bench
O22210	Arabidopsis thaliana	Viridiplantae	248		negative	False	ad	bench
O55081	Rattus norvegicus	Metazoa	1135		negative	False	ae	bench
O62203	Caenorhabditis elegans	Metazoa	1073		negative	False	ac	train
O80669	Arabidopsis thaliana	Viridiplantae	141		negative	False	ac	train
P0DKJ7	Arabidopsis thaliana	Viridiplantae	813		negative	False	ab	train
P0DO24	Arabidopsis thaliana	Viridiplantae	649		negative	False	ae	train
P18494	Saccharomyces cerevisiae	Fungi	730		negative	False	ad	train
P25632	Saccharomyces cerevisiae	Fungi	483		negative	False	ad	bench
P38302	Saccharomyces cerevisiae	Fungi	140		negative	False	ad	train
P40019	Saccharomyces cerevisiae	Fungi	153		negative	False	ab	train
P43124	Saccharomyces cerevisiae	Fungi	402		negative	False	ae	bench
P47123	Saccharomyces cerevisiae	Fungi	218		negative	False	aa	train
P47128	Saccharomyces cerevisiae	Fungi	113		negative	False	ab	train
Q01329	Saccharomyces cerevisiae	Fungi	785		negative	False	aa	train
Q03661	Saccharomyces cerevisiae	Fungi	1658		negative	False	ae	train
Q04052	Saccharomyces cerevisiae	Fungi	950		negative	False	ab	train
Q06632	Saccharomyces cerevisiae	Fungi	1357		negative	False	aa	bench
Q07979	Saccharomyces cerevisiae	Fungi	502		negative	False	ad	bench
Q07980	Saccharomyces cerevisiae	Fungi	695		negative	False	ab	train
Q0DUR2	Oryza sativa subsp. japonica	Viridiplantae	92		negative	False	ad	train
Q12072	Saccharomyces cerevisiae	Fungi	812		negative	False	aa	train
Q12308	Saccharomyces cerevisiae	Fungi	588		negative	False	ad	bench
Q12345	Saccharomyces cerevisiae	Fungi	250		negative	False	aa	train
Q12420	Saccharomyces cerevisiae	Fungi	587		negative	False	aa	train
Q17895	Caenorhabditis elegans	Metazoa	249		negative	False	ae	train
Q20716	Caenorhabditis elegans	Metazoa	267		negative	False	aa	bench
Q550D5	Dictyostelium discoideum	Other	872		negative	False	ab	train
Q5DTW7	Mus musculus	Metazoa	1521		negative	False	ab	train
Q5JNS0	Oryza sativa subsp. japonica	Viridiplantae	379		negative	False	ac	train
Q69IL4	Oryza sativa subsp. japonica	Viridiplantae	380		negative	False	aa	train
Q6UFS5	Danio rerio	Metazoa	563		negative	False	aa	train
Q7YZH1	Drosophila melanogaster	Metazoa	3241		negative	False	ad	train
Q8K3W2	Mus musculus	Metazoa	274		negative	False	ad	train
Q8R515	Rattus norvegicus	Metazoa	873		negative	False	aa	train
Q93442	Caenorhabditis elegans	Metazoa	2862		negative	False	aa	train
Q93YU8	Arabidopsis thaliana	Viridiplantae	796		negative	False	aa	train
Q94KE2	Arabidopsis thaliana	Viridiplantae	1550		negative	False	aa	train
Q99LT0	Mus musculus	Metazoa	99		negative	False	ad	bench
Q9FJ17	Arabidopsis thaliana	Viridiplantae	211		negative	False	ae	bench
Q9M2Z2	Arabidopsis thaliana	Viridiplantae	317		negative	False	ae	train
Q9SY69	Arabidopsis thaliana	Viridiplantae	913		negative	False	ad	train
Q9VSK8	Drosophila melanogaster	Metazoa	597		negative	False	ab	train
Q9VU86	Drosophila melanogaster	Metazoa	1873		negative	False	ae	train
Q9W2I4	Drosophila melanogaster	Metazoa	289		negative	False	ad	train
Q9ZQZ6	Arabidopsis thaliana	Viridiplantae	263		negative	False	ac	train
Q9ZWA1	Arabidopsis thaliana	Viridiplantae	393		negative	False	aa	bench
O09111	Mus musculus	Metazoa	151		negative	True	ab	train
P13621	Bos taurus	Metazoa	213		negative	False	ac	train
P20609	Dictyostelium discoideum	Other	53		negative	False	ab	train
P23709	Bos taurus	Metazoa	266		negative	False	ab	train
P42900	Saccharomyces cerevisiae	Fungi	643		negative	False	ab	train
Q8VC49	Mus musculus	Metazoa	283		negative	False	aa	bench
Q9CQ91	Mus musculus	Metazoa	84		negative	True	aa	train
Q9DCX2	Mus musculus	Metazoa	161		negative	False	ad	train
P03899	Mus musculus	Metazoa	115		negative	True	ad	train
P03903	Mus musculus	Metazoa	98		negative	True	ac	train
P21306	Saccharomyces cerevisiae	Fungi	62		negative	False	ac	train
Q00361	Bos taurus	Metazoa	71		negative	False	ae	train
Q06236	Saccharomyces cerevisiae	Fungi	168		negative	True	ad	train
