Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O73857	reviewed	3SA5A_NAJSP	Cytotoxin 5a (Cardiotoxin 5a) (CTX-5a) (Ctx5a)		Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix)	81
O76537	reviewed	PGRP_TRINI	Peptidoglycan recognition protein	PGRP	Trichoplusia ni (Cabbage looper)	182
O80327	reviewed	TLP1_PYRPY	Thaumatin-like protein 1	TL1	Pyrus pyrifolia (Chinese pear) (Pyrus serotina)	244
O95157	reviewed	NXPH3_HUMAN	Neurexophilin-3	NXPH3 KIAA1159 NPH3 UNQ687/PRO1327	Homo sapiens (Human)	252
O96059	reviewed	MOR2_BOMMO	Moricin-2	MOR2	Bombyx mori (Silk moth)	66
P00652	reviewed	RNC2_ASPCL	Guanyl-specific ribonuclease C2 (RNase C-2) (EC 4.6.1.24)	ACLA_055300	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	132
P00719	reviewed	LYG_STRCA	Lysozyme g (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase) (Goose-type lysozyme)		Struthio camelus (Common ostrich)	204
P01076	reviewed	MCPI_SOLLC	Metallocarboxypeptidase inhibitor (Carboxypeptidase inhibitor) (MCPI)		Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	77
P01174	reviewed	WAP_RAT	Whey acidic protein (WAP) (Whey phosphoprotein)	Wap	Rattus norvegicus (Rat)	137
P01226	reviewed	FSHB_HORSE	Follitropin subunit beta (Follicle-stimulating hormone beta subunit) (FSH-B) (FSH-beta) (Follitropin beta chain)	FSHB	Equus caballus (Horse)	129
P01299	reviewed	PAHO_CANLF	Pancreatic polypeptide prohormone [Cleaved into: Pancreatic polypeptide (PP); Pancreatic icosapeptide]	PPY	Canis lupus familiaris (Dog) (Canis familiaris)	93
P01302	reviewed	PAHO_BOVIN	Pancreatic polypeptide prohormone [Cleaved into: Pancreatic polypeptide (PP); C-terminal peptide 1; C-terminal peptide 2]	PPY	Bos taurus (Bovine)	131
P01307	reviewed	MOTI_PIG	Promotilin [Cleaved into: Motilin; Motilin-associated peptide (MAP)]	MLN	Sus scrofa (Pig)	119
P01364	reviewed	AGN3_APLCA	Abdominal ganglion neuropeptide R3-14 [Cleaved into: Histidine-rich basic peptide (HRBP); Peptide I; Peptide II]		Aplysia californica (California sea hare)	108
P01384	reviewed	3L21_NOTSC	Alpha-elapitoxin-Nss2a (Alpha-EPTX-Nss2a) (Long neurotoxin 1) (LNTX-1) (Notechis III-4)		Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake)	94
P01412	reviewed	3S11A_OPHHA	Weak toxin DE-1		Ophiophagus hannah (King cobra) (Naja hannah)	83
P01477	reviewed	MYXC_CROHE	Myotoxin (Crotamine-4) (Toxic peptide C)		Crotalus helleri (Southern pacific rattlesnake) (Crotalus oreganus helleri)	70
P01479	reviewed	SCX1_ANDAU	Neurotoxin-1'' (AaH I'') (AaHI'') (Neurotoxin I'') [Cleaved into: Neurotoxin-1/1' (AaH I/AaH I') (AaHI/AaHI') (Neurotoxin I/I')]		Androctonus australis (Sahara scorpion)	83
P01499	reviewed	MCDP_APIME	Mast cell degranulating peptide (MCD peptide) (MCDP) (Peptide 401)		Apis mellifera (Honeybee)	50
P01538	reviewed	THN3_VISAL	Viscotoxin-A3	THI2.1	Viscum album (European mistletoe)	111
P01543	reviewed	THNB_WHEAT	Purothionin A-1 (Beta-purothionin) (Purothionin A-I)	THI1.3	Triticum aestivum (Wheat)	136
P01545	reviewed	THNA_HORVU	Alpha-hordothionin (Purothionin II)	THI1.1	Hordeum vulgare (Barley)	127
P01633	reviewed	KV5A1_MOUSE	Immunoglobulin kappa chain variable 6-17 (Ig kappa chain V-V region MPC11) (Ig kappa chain V19-17)	Igkv6-17 Igk-V19-17	Mus musculus (Mouse)	149
P02221	reviewed	GLB1_CHITH	Globin CTT-I/CTT-IA (Erythrocruorin)	CTT-1	Chironomus thummi thummi (Midge)	158
P02222	reviewed	GLB2_CHITH	Globin CTT-II beta		Chironomus thummi thummi (Midge)	160
P02223	reviewed	GLB9_CHITH	Globin CTT-IX	CTT-9	Chironomus thummi thummi (Midge)	161
P02224	reviewed	GLB6_CHITH	Globin CTT-VI	CTT-6	Chironomus thummi thummi (Midge)	162
P02226	reviewed	GLB7A_CHITH	Globin CTT-VIIA	ctt-7A.1	Chironomus thummi thummi (Midge)	161
P02230	reviewed	GLB4_CHITH	Globin CTT-IV	D; D'; C; C'	Chironomus thummi thummi (Midge)	151
P02739	reviewed	SAA2_NEOVI	Serum amyloid A-2 protein [Cleaved into: Amyloid protein AA1 (Protein AA1) (AA1); Amyloid protein AA2 (Protein AA2) (AA2)]	SAA2P0DJI9	Neovison vison (American mink) (Mustela vison)	129
P02755	reviewed	LACB_BUBBU	Beta-lactoglobulin (Beta-LG)	LGB	Bubalus bubalis (Domestic water buffalo)	180
P02758	reviewed	LACB1_HORSE	Beta-lactoglobulin-1 (Beta-LG-1) (Beta-lactoglobulin I) (BLGI)	LGB1	Equus caballus (Horse)	180
P02782	reviewed	PSC1_RAT	Prostatic steroid-binding protein C1 (Prostatein peptide C1)	Psbpc1 Scgb1d2	Rattus norvegicus (Rat)	111
P02883	reviewed	THM1_THADA	Thaumatin I (Thaumatin-1)		Thaumatococcus daniellii (Katemfe) (Phrynium daniellii)	235
P02896	reviewed	VSM4_TRYBB	Variant surface glycoprotein MITAT 1.4A (VSG 117)		Trypanosoma brucei brucei	526
P03998	reviewed	COAG_LIMPO	Coagulogen [Cleaved into: Coagulin chain A; Peptide C; Coagulin chain B]		Limulus polyphemus (Atlantic horseshoe crab)	195
P04148	reviewed	SI25_BOMMO	Fibrohexamerin (25 kDa silk glycoprotein) (p25)	P25	Bombyx mori (Silk moth)	220
P04706	reviewed	GLU2_MAIZE	Glutelin-2 (27 kDa zein) (Alcohol-soluble reduced glutelin) (ASG) (Zein Zc2) (Zein-gamma)		Zea mays (Maize)	223
P05367	reviewed	SAA2_MOUSE	Serum amyloid A-2 protein [Cleaved into: Amyloid protein A]	Saa2	Mus musculus (Mouse)	122
P06306	reviewed	INS_FELCA	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	INS	Felis catus (Cat) (Felis silvestris catus)	110
P06912	reviewed	RET4_RABIT	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP)	RBP4	Oryctolagus cuniculus (Rabbit)	201
P07380	reviewed	LACB2_HORSE	Beta-lactoglobulin-2 (Beta-LG-2) (Beta-lactoglobulin II) (BLGII) (Minor monomeric beta-lactoglobulin)	LGB2	Equus caballus (Horse)	181
P07439	reviewed	LEC3_MEGRO	Lectin BRA-3		Megabalanus rosa (Acorn barnacle)	162
P07457	reviewed	ANP1C_ZOAAM	Ice-structuring protein SP1-C (ISP SP1-C) (Antifreeze protein SP1-C)		Zoarces americanus (Ocean pout) (Macrozoarces americanus)	87
P07479	reviewed	IPRB_SAGSA	Proteinase inhibitor B (Double-headed proteinase inhibitor B) (API-B)		Sagittaria sagittifolia (Arrowhead)	181
P07529	reviewed	XYNA_NAGAL	Endo-1,4-beta-xylanase (Xylanase) (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase)		Naganishia albida (Cryptococcus albidus)	332
P07596	reviewed	IAAS_HORVU	Alpha-amylase/subtilisin inhibitor (BASI)		Hordeum vulgare (Barley)	203
P07712	reviewed	AGN5_APLCA	Abdominal ganglion neuropeptides L5-67 [Cleaved into: Luqin; Luqin-B; Luqin-C; Proline-rich mature peptide (PRMP)]		Aplysia californica (California sea hare)	112
P07728	reviewed	GLUA1_ORYSJ	Glutelin type-A 1 (Glutelin type I) [Cleaved into: Glutelin type-A 1 acidic chain; Glutelin type-A 1 basic chain]	GLUA1 GLUA-1 Os01g0762500 LOC_Os01g55690 P0460E08.38 P0512C01.36	Oryza sativa subsp. japonica (Rice)	499
P08299	reviewed	PR1A_TOBAC	Pathogenesis-related protein 1A (PR-1A)		Nicotiana tabacum (Common tobacco)	168
P08375	reviewed	SRX1A_SARPE	Sarcotoxin-1A (Sarcotoxin IA)		Sarcophaga peregrina (Flesh fly) (Boettcherisca peregrina)	63
P08376	reviewed	SRX1B_SARPE	Sarcotoxin-1B (Sarcotoxin IB)		Sarcophaga peregrina (Flesh fly) (Boettcherisca peregrina)	63
P09318	reviewed	PRL2_OREMO	Prolactin-2 (PRL-177) (Prolactin II)	prl2	Oreochromis mossambicus (Mozambique tilapia) (Tilapia mossambica)	200
P09319	reviewed	PRL1_OREMO	Prolactin-1 (PRL-188) (Prolactin I)	prl1	Oreochromis mossambicus (Mozambique tilapia) (Tilapia mossambica)	212
P09350	reviewed	SR1A_PHYPO	Spherulin-1A		Physarum polycephalum (Slime mold)	246
P09585	reviewed	PRL_CYPCA	Prolactin (PRL)	prl	Cyprinus carpio (Common carp)	210
P09586	reviewed	PR3B1_MOUSE	Prolactin-3B1 (Chorionic somatomammotropin hormone 2) (Placental lactogen II) (PL-II)	Prl3b1 Csh2 Pl-2 Pl2	Mus musculus (Mouse)	222
P09989	reviewed	RIPT_TRIKI	Ribosome-inactivating protein alpha-trichosanthin (Alpha-TCS) (EC 3.2.2.22) (rRNA N-glycosidase)		Trichosanthes kirilowii (Chinese snake gourd) (Chinese cucumber)	289
P0C1X6	reviewed	KA183_TITDI	Potassium channel toxin alpha-KTx 18.3 (Toxin TdK3)		Tityus discrepans (Venezuelan scorpion)	62
P0C292	reviewed	TX11_ANDCR	Toxin Acra1 (Acra I-1)		Androctonus crassicauda (Arabian fat-tailed scorpion)	80
P0C293	reviewed	TX12_ANDCR	Toxin Acra I-2 (Acra1)		Androctonus crassicauda (Arabian fat-tailed scorpion)	80
P0C552	reviewed	3SOIK_BUNFA	Neurotoxin 3FTx-LK		Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	78
P0C553	reviewed	3SOII_BUNFA	Neurotoxin 3FTx-LI		Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	79
P0C554	reviewed	3SO3_BUNFA	Neurotoxin 3FTx-RK		Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	86
P0DL40	reviewed	VESPI_VESMG	Vespin		Vespa magnifica (Hornet)	67
P0DPT6	reviewed	TXF3C_SCODE	Omega-scoloptoxin(15)-Ssd3c (Omega-SLPTX(15)-Ssd3c) (Toxin SSD1052)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	76
P0DPU0	reviewed	VA552_SCODE	Scoloptoxin SSD552 (Cysteine-rich venom protein) (CRVP)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	210
P0DPU1	reviewed	VA576_SCODE	Scoloptoxin SSD976 (Cysteine-rich venom protein) (CRVP)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	210
P0DPU2	reviewed	VA543_SCODE	Scoloptoxin SSD43 (Cysteine-rich venom protein) (CRVP)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	211
P0DPU3	reviewed	TX14A_SCODE	Scoloptoxin SSD14 (SLPTX-SSD14) (Toxin-SSD14) [Cleaved into: SLPTX-SSD14 subunit alpha; SLPTX-SSD14 subunit beta]		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	577
P0DPU7	reviewed	PNX36_SCODE	Scoloptoxin SSD996		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	78
P0DPU8	reviewed	TX51A_SCODE	U-scoloptoxin(05)-Ssd1a (U-SLPTX(05)-Ssd1a) (Toxin SSD202)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	105
P0DPU9	reviewed	TX14A_MYRGU	U-myrmeciitoxin(01)-Mg4a (MIITX(01)-Mg4a) (U-MIITX(01)-Mg4a)		Myrmecia gulosa (Red bulldog ant)	67
P0DPV0	reviewed	TXA1B_SCODE	Omega-scoloptoxin(10)-Ssd1b (Omega-SLPTX(10)-Ssd1b) (Toxin SSD449)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	101
P0DPV1	reviewed	TXA2A_SCODE	U-scoloptoxin(10)-Ssd2a (U-SLPTX(10)-Ssd2a) (Toxin SSD1020)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	97
P0DPV2	reviewed	VA558_SCODE	Scoloptoxin SSD558 (Cysteine-rich venom protein) (CRVP)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	210
P0DPV3	reviewed	TX31B_SCODE	U-scoloptoxin(03)-Ssd1b (U-SLPTX(03)-Ssd1b) (Toxin SSD1084)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	73
P0DPV5	reviewed	TXF3B_SCODE	U-scoloptoxin(15)-Ssd3b (U-SLPTX(15)-Ssd3a) (Toxin SSD1014)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	76
P0DPV6	reviewed	TXF3A_SCODE	Kappa-scoloptoxin(15)-Ssd3a (Kappa-SLPTX(15)-Ssd3) (Toxin SSD893)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	76
P0DPZ2	reviewed	TXA1A_SCODE	Kappa-scoloptoxin(10)-Ssd1a (Kappa-SLPTX(10)-Ssd1a) (Toxin SSD856)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	101
P0DQB8	reviewed	TXF1A_SCODE	Mu-scoloptoxin(15)-Ssd1a (Mu-SLPTX(15)-Ssd1a) (Toxin SSD800)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	73
P0DQC1	reviewed	TXF2A_SCODE	Kappa-scoloptoxin(15)-Ssd2a (Kappa-SLPTX(15)-Ssd2a) (Toxin SSD559)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	92
P0DQE1	reviewed	TXG1A_SCODE	U-scoloptoxin(16)-Ssd1a (U-SLPTX(16)-Ssd1a) (Toxin SSD377)		Scolopendra dehaani (Thai centipede) (Scolopendra subspinipes dehaani)	109
P0DSJ6	reviewed	TX13A_MYRGU	U-myrmeciitoxin(01)-Mg3a (MIITX(01)-Mg3a) (U-MIITX(01)-Mg3a)		Myrmecia gulosa (Red bulldog ant)	62
P0DUQ6	reviewed	CA171_CONPO	Conotoxin Pl171		Conus planorbis (Planorbis cone)	70
P0DUS5	reviewed	D211_DORVU	DELTA-limacoditoxin(2)-Dv11 (DELTA-LCTX(2)-Dv11) (Cecropin-like peptide) (Vulnericin)		Doratifera vulnerans (Mottled cup moth)	57
P0DUS7	reviewed	U321_DORVU	U-limacoditoxin(3)-Dv21 (U-LCTX(3)-Dv21) (Cecropin-like peptide) (Vulnericin)		Doratifera vulnerans (Mottled cup moth)	56
P0DUS8	reviewed	U332_DORVU	U-limacoditoxin(3)-Dv32a (U-LCTX(3)-Dv32a) (Vulnericin)		Doratifera vulnerans (Mottled cup moth)	59
P0DUS9	reviewed	U333_DORVU	U-limacoditoxin(3)-Dv33 (U-LCTX(3)-Dv33) (Cecropin-like peptide) (Vulnericin)		Doratifera vulnerans (Mottled cup moth)	59
P0DUT0	reviewed	U661_DORVU	U-limacoditoxin(6)-Dv61 (U-LCTX(6)-Dv61) (Vulnericin)		Doratifera vulnerans (Mottled cup moth)	46
P10298	reviewed	SOMA_CYPCA	Somatotropin (Growth hormone)	gh	Cyprinus carpio (Common carp)	210
P10456	reviewed	3S1D_LATCO	Short neurotoxin D		Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait)	83
P10457	reviewed	3S12_LATCO	Short neurotoxin II		Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait)	83
P10459	reviewed	3S1B_LATLA	Short neurotoxin B		Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait)	83
P10562	reviewed	CANA_CANGL	Canavalin		Canavalia gladiata (Sword bean) (Dolichos gladiatus)	445
P10675	reviewed	FAS1_SCHAM	Fasciclin-1 (Fasciclin I) (FAS I) (FCN)	FAS1	Schistocerca americana (American grasshopper)	662
P10822	reviewed	ICW3_PSOTE	Chymotrypsin inhibitor 3 (WCI-3)		Psophocarpus tetragonolobus (Winged bean) (Dolichos tetragonolobus)	207
P10975	reviewed	NLTPC_RICCO	Non-specific lipid-transfer protein C, cotyledon-specific isoform (NS-LTP C) (Phospholipid transfer protein) (PLTP)		Ricinus communis (Castor bean)	116
P11643	reviewed	IAAD_HORVU	Alpha-amylase/trypsin inhibitor CMd (Chloroform/methanol-soluble protein CMd)	IAT3 CMD2	Hordeum vulgare (Barley)	171
P11839	reviewed	CASB_SHEEP	Beta-casein	CSN2	Ovis aries (Sheep)	222
P11919	reviewed	ECLH_MANSE	Eclosion hormone (EH) (Ecdysis activator)		Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	88
P12548	reviewed	GLB73_CHITH	Globin CTT-VIIB-3	CTT-7B3	Chironomus thummi thummi (Midge)	161
P12549	reviewed	GLB76_CHITH	Globin CTT-VIIB-6	CTT-7B6	Chironomus thummi thummi (Midge)	161
P12550	reviewed	GLB77_CHITH	Globin CTT-VIIB-7	CTT-7B7	Chironomus thummi thummi (Midge)	162
P12992	reviewed	ESTJ_HELVI	Juvenile hormone esterase (JH esterase) (EC 3.1.1.59)		Heliothis virescens (Tobacco budworm moth)	564
P13083	reviewed	PAHO_CAVPO	Pancreatic polypeptide prohormone [Cleaved into: Pancreatic polypeptide (PP); Pancreatic icosapeptide-like]	PPY	Cavia porcellus (Guinea pig)	126
P13691	reviewed	IAA2_HORVU	Alpha-amylase inhibitor BDAI-1	IAD1	Hordeum vulgare (Barley)	152
P14133	reviewed	ASO_CUCSA	L-ascorbate oxidase (ASO) (Ascorbase) (EC 1.10.3.3)		Cucumis sativus (Cucumber)	587
P14170	reviewed	OSMO_TOBAC	Osmotin	AP24	Nicotiana tabacum (Common tobacco)	246
P14214	reviewed	TAC2_TACTR	Tachyplesin-2 (Tachyplesin II)		Tachypleus tridentatus (Japanese horseshoe crab)	77
P14217	reviewed	ARS_CHLRE	Arylsulfatase (AS) (EC 3.1.6.1) (Aryl-sulfate sulphohydrolase)	AS	Chlamydomonas reinhardtii (Chlamydomonas smithii)	647
P14612	reviewed	3L2H_PSEAU	Long neurotoxin homolog Pa ID (LNTX-ID)		Pseudechis australis (Mulga snake) (King brown snake)	89
P14946	reviewed	MPAL1_LOLPR	Pollen allergen Lol p 1 (Allergen Lol p I) (Allergen R7) (allergen Lol p 1)		Lolium perenne (Perennial ryegrass)	263
P15223	reviewed	SCX1_CENNO	Toxin Cn1 (Toxin II.14) (Toxin 1)		Centruroides noxius (Mexican scorpion)	86
P15270	reviewed	SP60_DICDI	Spore coat protein SP60	cotC SP60 DDB_G0277141	Dictyostelium discoideum (Social amoeba)	424
P15399	reviewed	PBAS_RAT	Probasin (PB) (M-40)	Pbsn Prbs	Rattus norvegicus (Rat)	177
P15570	reviewed	ELIB_PHYCR	Beta-elicitin cryptogein (CRY)		Phytophthora cryptogea	118
P15818	reviewed	3NO4H_BUNMU	Long neurotoxin homolog (BM10-1)		Bungarus multicinctus (Many-banded krait)	87
P16030	reviewed	LEC_BAUPU	Lectin		Bauhinia purpurea (Camel's foot tree) (Phanera purpurea)	290
P16094	reviewed	RIP1_MOMCH	Ribosome-inactivating protein momordin I (EC 3.2.2.22) (Alpha-momorcharin) (Alpha-MMC) (rRNA N-glycosidase)		Momordica charantia (Bitter gourd) (Balsam pear)	286
P16159	reviewed	IAC16_WHEAT	Alpha-amylase/trypsin inhibitor CM16 (Chloroform/methanol-soluble protein CM16)		Triticum aestivum (Wheat)	143
P16850	reviewed	IAAC1_WHEAT	Alpha-amylase/trypsin inhibitor CM1 (Chloroform/methanol-soluble protein CM1)		Triticum aestivum (Wheat)	145
P16851	reviewed	IAAC2_WHEAT	Alpha-amylase/trypsin inhibitor CM2 (Chloroform/methanol-soluble protein CM2)		Triticum aestivum (Wheat)	145
P17314	reviewed	IAAC3_WHEAT	Alpha-amylase/trypsin inhibitor CM3 (Chloroform/methanol-soluble protein CM3)		Triticum aestivum (Wheat)	168
P18328	reviewed	3SIM2_DENAN	Muscarinic toxin 2 (MT2) (MTx2)		Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps)	86
P18684	reviewed	DIPD_PROTE	Diptericin-D		Protophormia terraenovae (Northern blowfly) (Lucilia terraenovae)	101
P18959	reviewed	PBP_MANSE	Pheromone-binding protein (PBP)		Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	168
P19204	reviewed	CASQ2_CHICK	Calsequestrin-2 (Laminin-binding protein)	CASQ2	Gallus gallus (Chicken)	406
P19656	reviewed	NLTP_MAIZE	Non-specific lipid-transfer protein (LTP) (Phospholipid transfer protein) (PLTP) (allergen Zea m 14)		Zea mays (Maize)	120
P19872	reviewed	AKH3_LOCMI	Adipokinetic prohormone type 3 [Cleaved into: Adipokinetic hormone 3 (Adipokinetic hormone III) (AKH-III); Adipokinetic hormone precursor-related peptide gamma chain (APRP-gamma)]		Locusta migratoria (Migratory locust)	77
P19959	reviewed	3S12_AIPLA	Short neurotoxin B		Aipysurus laevis (Olive sea snake)	81
P20362	reviewed	SOML_PAROL	Somatolactin (SL)		Paralichthys olivaceus (Bastard halibut) (Hippoglossus olivaceus)	231
P20462	reviewed	LLPA_NOTEU	Late lactation protein A (LLP-A)	LLPA	Notamacropus eugenii (Tammar wallaby) (Macropus eugenii)	176
P20797	reviewed	PBP_ANTPO	Pheromone-binding protein (PBP)		Antheraea polyphemus (Polyphemus moth)	163
P21814	reviewed	UTMP_SHEEP	Uterine milk protein (UTMP)		Ovis aries (Sheep)	429
P22297	reviewed	TRF_MANSE	Transferrin		Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	681
P22323	reviewed	SPA3K_CAVPO	Serine proteinase inhibitor A3K (Serpin A3K) (Contrapsin) (CP)	SERPINA3K	Cavia porcellus (Guinea pig)	410
P22327	reviewed	AJSP1_TRINI	Acidic juvenile hormone-suppressible protein 1 (AJHSP1)	AJSP-1	Trichoplusia ni (Cabbage looper)	624
P22922	reviewed	A1AT_BOMMO	Antitrypsin (AT)		Bombyx mori (Silk moth)	392
P23044	reviewed	GUN_ROBSP	Endoglucanase 1 (EC 3.2.1.4) (Carboxymethyl-cellulase I) (CMCase I) (Endo-1,4-beta-glucanase) (Endoglucanase I)	eg 1	Robillarda sp. (strain Y-20)	385
P23438	reviewed	SSRB_CANLF	Translocon-associated protein subunit beta (TRAP-beta) (Glycoprotein 25H) (gp25H) (Signal sequence receptor subunit beta) (SSR-beta)	SSR2	Canis lupus familiaris (Dog) (Canis familiaris)	183
P24330	reviewed	MYX_CROAD	Myotoxin (CAM-toxin)		Crotalus adamanteus (Eastern diamondback rattlesnake)	70
P24336	reviewed	SIX2_HOTJU	Beta-insect depressant toxin BjIT2 (IT-2)		Hottentotta judaicus (Black scorpion) (Buthotus judaicus)	85
P24478	reviewed	RIPS_TRIKI	Ribosome-inactivating protein karasurin-C (EC 3.2.2.22) (rRNA N-glycosidase) [Cleaved into: Ribosome-inactivating protein karasurin-A]		Trichosanthes kirilowii (Chinese snake gourd) (Chinese cucumber)	289
P24854	reviewed	IBP4_PIG	Insulin-like growth factor-binding protein 4 (IBP-4) (IGF-binding protein 4) (IGFBP-4)	IGFBP4	Sus scrofa (Pig)	259
P25068	reviewed	TAP_BOVIN	Tracheal antimicrobial peptide (TAP)		Bos taurus (Bovine)	64
P25289	reviewed	MPI2_LYMST	Molluscan insulin-related peptide 2 (MIP II) [Cleaved into: Molluscan insulin-related peptide 2 B chain; Molluscan insulin-related peptide 2 A chain]		Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	137
P25331	reviewed	ECLH_BOMMO	Eclosion hormone (EH) (Ecdysis activator)		Bombyx mori (Silk moth)	88
P25404	reviewed	AMP2_MIRJA	Antimicrobial peptide 2 (MJ-AMP2) (AMP2)	AMP2	Mirabilis jalapa (Garden four-o'clock)	63
P25497	reviewed	3S11_PSEAU	Short neurotoxin 1 (Neurotoxin PA A)		Pseudechis australis (Mulga snake) (King brown snake)	83
P25871	reviewed	OLPA_TOBAC	Osmotin-like protein (Pathogenesis-related protein PR-5d)	OLPA OLP1	Nicotiana tabacum (Common tobacco)	251
P26202	reviewed	P15A_RABIT	15 kDa protein A (P15R) (Protein P15A)		Oryctolagus cuniculus (Rabbit)	137
P26203	reviewed	P15B_RABIT	15 kDa protein B (P15H) (Protein P15B)		Oryctolagus cuniculus (Rabbit)	137
P26461	reviewed	IACS_PIG	Sperm-associated acrosin inhibitor (AI)		Sus scrofa (Pig)	97
P26780	reviewed	DEF2_SINAL	Defensin-like protein 2 (MTI-2) (Trypsin inhibitor 2)		Sinapis alba (White mustard) (Brassica hirta)	99
P27275	reviewed	AMP_AMACA	Antimicrobial peptide 2 (AMP2) [Cleaved into: Antimicrobial peptide 1 (AMP1)]		Amaranthus caudatus (Love-lies-bleeding) (Inca-wheat)	86
P27559	reviewed	RIP2_SAPOF	Ribosome-inactivating protein saporin-2 (SAP-2) (SO-2) (EC 3.2.2.22) (rRNA N-glycosidase)	SAP2	Saponaria officinalis (Common soapwort) (Lychnis saponaria)	292
P27613	reviewed	GLBH_TRICO	Globin-like host-protective antigen		Trichostrongylus colubriformis (Black scour worm)	173
P28041	reviewed	IAAA_HORVU	Alpha-amylase/trypsin inhibitor CMa (Chloroform/methanol-soluble protein CMa)	IAT1	Hordeum vulgare (Barley)	145
P28770	reviewed	EPD1_ONCMY	Ependymin-1 (Ependymin I) (EPD-I)	epd1	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	221
P29064	reviewed	AGLU_CANTS	Alpha-glucosidase (EC 3.2.1.20) (Maltase) [Cleaved into: Alpha-glucosidase subunit 1; Alpha-glucosidase subunit 2]		Candida tsukubaensis (Yeast) (Pseudozyma tsukubaensis)	1070
P29392	reviewed	SPAD1_BOVIN	Spermadhesin-1 (Acidic seminal fluid protein) (ASFP)	SPADH1	Bos taurus (Bovine)	134
P29421	reviewed	IAAS_ORYSJ	Alpha-amylase/subtilisin inhibitor (RASI)	RASI Os04g0526600 LOC_Os04g44470 OSJNBa0038O10.14	Oryza sativa subsp. japonica (Rice)	200
P29523	reviewed	PPB_BOMMO	Membrane-bound alkaline phosphatase (M-ALP) (EC 3.1.3.1)	Alp-m	Bombyx mori (Silk moth)	550
P29701	reviewed	FETUA_SHEEP	Alpha-2-HS-glycoprotein (Fetuin-A)	AHSG FETUA	Ovis aries (Sheep)	364
P31418	reviewed	OBP1_MANSE	General odorant-binding protein 1 (GOBP 1)	GOBP1	Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	166
P31419	reviewed	OBP2_MANSE	General odorant-binding protein 2 (GOBP 2)	GOBP2	Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	161
P31420	reviewed	OMBP_MANSE	Ommochrome-binding protein (OBP) (YCP)		Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	274
P31608	reviewed	IPRA_SAGSA	Proteinase inhibitor A (Double-headed proteinase inhibitor A) (API-A)		Sagittaria sagittifolia (Arrowhead)	181
P32947	reviewed	LIP3_DIURU	Lipase 3 (EC 3.1.1.3) (Cholesterol esterase)	LIP3	Diutina rugosa (Yeast) (Candida rugosa)	549
P33575	reviewed	LAMP_PETMA	Lamprin 0.9 (Cartilage matrix protein)		Petromyzon marinus (Sea lamprey)	139
P33577	reviewed	LAMR_PETMA	Lamprin 1.8-10 (Cartilage matrix protein)		Petromyzon marinus (Sea lamprey)	119
P33679	reviewed	ZEAM_MAIZE	Zeamatin	Zlp	Zea mays (Maize)	227
